districtID,district,provinceID,province,islandID,island,grdp_pc_2000,grdp_pc_2001,grdp_pc_2002,grdp_pc_2003,grdp_pc_2004,grdp_pc_2005,grdp_pc_2006,grdp_pc_2007,grdp_pc_2008,grdp_pc_2009,grdp_pc_2010,grdp_pc_2011,grdp_pc_2012,grdp_pc_2013,grdp_pc_2014,grdp_pc_2015,grdp_pc_2016,grdp_pc_2017,grdp_pc_2018,grdp_pc_2019,grdp_pc_2020,grdp_pc_2021,grdp_pc_2022,grdp_pc_2023,grdp_pc_2024
1905,Bangka Selatan,19,Kepulauan Bangka Belitung,1,Sumatera,22320.6,23286.4,24034.2,23214.9,23215.8,23566.7,23683.0,23881.2,23582.4,23300.6,23915.6,24971.3,25606.8,26159.8,26745.2,27301.0,27884.0,28565.0,29258.0,30191.0,30624.0,31331.0,31851.0,32582.0,32454.0
1906,Belitung Timur,19,Kepulauan Bangka Belitung,1,Sumatera,23934.4,23774.8,24300.8,29378.8,29705.3,29951.3,30405.1,30907.6,31919.1,32579.7,33476.9,34660.6,35976.2,37197.8,38265.0,39156.1,39959.0,41018.0,41917.0,43581.0,43151.0,44608.0,45727.0,47302.0,46733.0
1971,Kota Pangkal Pinang,19,Kepulauan Bangka Belitung,1,Sumatera,28781.2,29213.7,29713.7,30669.2,30681.9,30884.2,31209.3,31502.2,32038.7,32345.2,33107.9,34471.8,35752.0,36991.5,37751.2,38506.2,39665.0,40894.0,42120.0,43744.0,40411.0,43504.0,45538.0,47290.0,45582.0
2101,Karimun,21,Kepulauan Riau,1,Sumatera,20137.6,20551.4,21250.0,21456.1,21877.2,22418.1,22967.9,23584.1,24268.4,25050.5,25804.4,27162.2,28822.5,30532.1,32581.5,34527.7,35868.0,37449.0,39007.0,40307.0,36056.0,36605.0,37789.0,39438.0,41545.0
2102,Bintan,21,Kepulauan Riau,1,Sumatera,54722.7,54679.4,54641.3,55346.1,56664.5,57753.6,58664.7,59787.3,60939.8,62057.3,63218.6,65843.1,68785.2,72035.9,76223.0,79482.0,81639.0,84728.0,87927.0,90020.0,87224.0,86446.0,91715.0,97951.0,105201.0
2103,Natuna,21,Kepulauan Riau,1,Sumatera,417149.3,272181.0,242133.7,213300.7,199268.3,194097.7,189111.2,182710.2,169242.1,167504.2,164992.8,165656.1,174070.0,179381.5,186246.9,191731.0,193126.0,192480.0,195355.0,194149.0,180061.0,177997.0,175737.0,174868.0,166448.0
2104,Lingga,21,Kepulauan Riau,1,Sumatera,14674.2,15269.3,15894.8,17021.1,17378.4,17937.7,18538.6,19263.2,20028.0,20832.7,21520.3,22751.8,24130.7,25686.5,27178.2,27855.4,28426.0,30032.0,31174.0,32577.0,29589.0,30010.0,30818.0,31827.0,32914.0
2105,Kepulauan Anambas,21,Kepulauan Riau,1,Sumatera,298853.4,297129.5,296048.9,295523.0,296547.8,297907.1,297614.4,298030.4,298260.9,298766.0,294859.8,295629.4,298637.8,303906.1,313152.0,319583.3,321479.0,317359.0,287723.0,282934.0,235179.0,232517.0,229507.0,227879.0,212218.0
2171,Kota Batam,21,Kepulauan Riau,1,Sumatera,66630.0,65569.2,65493.2,65369.8,65810.4,66542.6,66899.9,67523.5,67976.8,66995.4,68166.9,68972.4,70352.8,72160.9,73716.9,75471.2,77135.0,76265.0,77245.0,76586.0,88970.0,91405.0,96006.0,101079.0,106123.0
2172,Kota Tanjung Pinang,21,Kepulauan Riau,1,Sumatera,36290.9,36964.0,38330.6,38914.8,39857.7,41204.7,42581.0,44021.2,45602.8,47224.9,48783.4,51153.5,53987.9,57335.8,59980.0,62818.1,64463.0,65415.0,66797.0,67574.0,61397.0,61079.0,62866.0,65218.0,66944.0
3101,Administrasi Kepulauan Seribu,31,DKI Jakarta,3,Jawa,255992.5,248954.2,236258.4,200178.7,186895.1,172592.7,169808.2,168505.3,167040.9,165354.0,166177.3,171389.4,167469.9,166556.6,164714.0,162973.1,161556.0,161684.0,163090.0,156281.0,134479.0,130333.0,126916.0,115876.0,113454.0
3171,Kota Administrasi Jakarta Selatan,31,DKI Jakarta,3,Jawa,77080.2,79303.3,81664.8,85351.4,89843.7,93845.9,96502.0,101414.6,106428.2,110843.5,116796.3,123115.1,129913.1,136567.7,143331.0,150613.7,158266.0,166718.0,175604.0,186215.0,188633.0,192282.0,202202.0,212831.0,224339.0
3172,Kota Administrasi Jakarta Timur,31,DKI Jakarta,3,Jawa,46184.7,47243.9,48817.9,50900.8,53701.6,56283.8,57733.6,60685.2,63424.0,65661.3,68920.5,72235.8,76141.1,79817.4,83953.4,87788.1,92303.0,97264.0,102376.0,107890.0,98909.0,102825.0,107482.0,112517.0,117326.0
3173,Kota Administrasi Jakarta Pusat,31,DKI Jakarta,3,Jawa,179330.3,186427.0,193320.4,202422.4,212780.1,223867.2,233979.9,247538.7,261659.0,275207.0,292016.3,309050.3,328425.6,346954.2,366643.0,389976.0,411637.0,434664.0,458755.0,497777.0,426974.0,434975.0,457487.0,482754.0,510015.0
3174,Kota Administrasi Jakarta Barat,31,DKI Jakarta,3,Jawa,55685.3,57337.9,58962.8,61198.3,64104.0,66871.3,68295.8,71447.0,74526.3,77059.0,80528.3,84027.4,88093.8,92620.1,96616.0,100958.2,105943.0,111378.0,117003.0,123115.0,130078.0,133895.0,140570.0,147337.0,154508.0
3175,Kota Administrasi Jakarta Utara,31,DKI Jakarta,3,Jawa,83285.2,86016.6,88692.5,92352.8,97333.4,101884.5,104366.3,109587.0,114528.5,117752.8,123410.0,129307.4,135546.2,141867.3,148479.5,155176.9,160746.0,169414.0,178412.0,183771.0,175774.0,184960.0,194659.0,201673.0,209550.0
3201,Bogor,32,Jawa Barat,3,Jawa,15639.4,15739.8,15909.7,16133.8,16527.8,17074.6,17563.5,18127.6,18633.5,18901.2,19288.8,19901.3,20556.4,21277.6,22010.3,22801.0,23582.0,24420.0,25373.0,26709.0,28476.0,29100.0,30230.0,31399.0,32713.0
